nombre,razon_social,cuit,telefono,email
AIR BLAST,AIR BLAST,-,-,-
ALAMBRES RUMBOS,ALAMBRES RUMBOS,-,-,-
APERAM,APERAM,-,-,-
ARANA,ARANA,-,-,-
ARGEC SA,ARGEC SA,-,-,-
ARGENGAS GROUP,ARGENGAS GROUP,-,-,-
ARGENTEC,ARGENTEC,-,-,-
ARIGOM,ARIGOM,-,-,-
ARRIOLA,ARRIOLA,-,-,-
ASTIVIA,ASTIVIA,-,-,-
AURELIA,AURELIA,-,-,-
AUSA,AUSA,-,-,-
AUTOMACION ARGENTINA,AUTOMACION ARGENTINA,-,-,-
AUTOSUR,AUTOSUR,-,-,-
AVEDIS,AVEDIS,-,-,-
BAIML,BAIML,-,-,-
BAIRES,BAIRES,-,-,-
BALANCEO DIEGO,BALANCEO DIEGO,-,-,-
BALIO,BALIO,-,-,-
BANCU,BANCU,-,-,-
BARRIOS CURBELO SANDRA JANET,BARRIOS CURBELO SANDRA JANET,-,-,-
BEARINGS,BEARINGS,-,-,-
BERKO,BERKO,-,-,-
BLUECAR,BLUECAR,-,-,-
BOMBAS PUENTE,BOMBAS PUENTE,-,-,-
BULL VIAL,BULL VIAL,-,-,-
BULONERA MIAN,BULONERA MIAN,-,-,-
BULONES BROWN,BULONES BROWN,-,-,-
BULONES COIRO,BULONES COIRO,-,-,-
BURGOM,BURGOM,-,-,-
CARBALLO,CARBALLO,-,-,-
CARDENUTO,CARDENUTO,-,-,-
CASA CANO,CASA CANO,-,-,-
CASABLANCA,CASABLANCA,-,-,-
CERSOSIMO,CERSOSIMO,-,-,-
CESKIAVIKUS JORGE ROBERTO,CESKIAVIKUS JORGE ROBERTO,-,-,-
CHEMPO COMPANY,CHEMPO COMPANY,-,-,-
CHEVRO GUILLON,CHEVRO GUILLON,-,-,-
CINGOLANI,CINGOLANI,-,-,-
COINGAS,COINGAS,-,-,-
COMPRESORES TEMPERLEY,COMPRESORES TEMPERLEY,-,-,-
CONSTRUMUNDO,CONSTRUMUNDO,-,-,-
CYLGEM,CYLGEM,-,-,-
DACI,DACI,-,-,-
DALIS,DALIS,-,-,-
DANIEL SALINAS,DANIEL SALINAS,-,-,-
DEELS,DEELS,-,-,-
DI GILIO,DI GILIO,-,-,-
DI PRIMO,DI PRIMO,-,-,-
DIAZ KARINA HAYDEE,DIAZ KARINA HAYDEE,-,-,-
DICA,DICA,-,-,-
DISTRIBUIDORA BAUDA,DISTRIBUIDORA BAUDA,-,-,-
DISTRIBUIDORA DIEZ,DISTRIBUIDORA DIEZ,-,-,-
DISTRIBUIDORA VIP,DISTRIBUIDORA VIP,-,-,-
DISTROPAR,DISTROPAR,-,-,-
DISTRUIBUIDORA DE REPUESTOS PESADOS,DISTRUIBUIDORA DE REPUESTOS PESADOS,-,-,-
ECONOVO,ECONOVO,-,-,-
EL CERROJO,EL CERROJO,-,-,-
EL PIONERO,EL PIONERO,-,-,-
EL REGISTRADOR,EL REGISTRADOR,-,-,-
EL RUTERIO,EL RUTERIO,-,-,-
ELECTRO TRAILER,ELECTRO TRAILER,-,-,-
ELECTROMECANICA SUR,ELECTROMECANICA SUR,-,-,-
ENCOMIENDA ANDREANI,ENCOMIENDA ANDREANI,-,-,-
ESTACION BIG BLUE,ESTACION BIG BLUE,-,-,-
EXUBARA,EXUBARA,-,-,-
EXUBARA AUTOPARTES,EXUBARA AUTOPARTES,-,-,-
FABIO,FABIO,-,-,-
FABIO LEON,FABIO LEON,-,-,-
FERREMAX,FERREMAX,-,-,-
FERRETERIA FH,FERRETERIA FH,-,-,-
FERRETERIA INDUSTRIAL MARIOTTO S.R.L.,FERRETERIA INDUSTRIAL MARIOTTO S.R.L.,-,-,-
FERRETERIA MARIOTTO,FERRETERIA MARIOTTO,-,-,-
FERRETERIA NEPA,FERRETERIA NEPA,-,-,-
FERRETERIA SAN LUIS,FERRETERIA SAN LUIS,-,-,-
FERRIN,FERRIN,-,-,-
FOURCADE,FOURCADE,-,-,-
FRANCO LUCAS MARTIN,FRANCO LUCAS MARTIN,-,-,-
FRANTEXTIL,FRANTEXTIL,-,-,-
FRENOS MONTEVERDE,FRENOS MONTEVERDE,-,-,-
GALPA,GALPA,-,-,-
GEC,GEC,-,-,-
GIANNONI,GIANNONI,-,-,-
GONZALEZ SOTO SH,GONZALEZ SOTO SH,-,-,-
GRAFICA EL TOKE,GRAFICA EL TOKE,-,-,-
GRUPO EMETRES INSUMOS S.R.L.,GRUPO EMETRES INSUMOS S.R.L.,-,-,-
HELOU,HELOU,-,-,-
HERRAJES TURRIN,HERRAJES TURRIN,-,-,-
HERRATURR,HERRATURR,-,-,-
HIDRAULICA LONGCHAMPS,HIDRAULICA LONGCHAMPS,-,-,-
HIDRONOVA,HIDRONOVA,-,-,-
HIERROFE,HIERROFE,-,-,-
HIERROS CASANOVA,HIERROS CASANOVA,-,-,-
HIERROS MORELLI,HIERROS MORELLI,-,-,-
HIERROTAN,HIERROTAN,-,-,-
HIZA,HIZA,-,-,-
HN INGENIERIA,HN INGENIERIA,-,-,-
HOSE & FITTINGS S.A,HOSE & FITTINGS S.A,-,-,-
ILFRA,ILFRA,-,-,-
ILUZ,ILUZ,-,-,-
IM INDUSTRIAS S.R.L,IM INDUSTRIAS S.R.L,-,-,-
INDRIERI LEANDRO MAXIMILIANO,INDRIERI LEANDRO MAXIMILIANO,-,-,-
INDUSELL,INDUSELL,-,-,-
INOXIDABLES PIERRI,INOXIDABLES PIERRI,-,-,-
INSUMA SUR,INSUMA SUR,-,-,-
INTERNET,INTERNET,-,-,-
ITALPREN,ITALPREN,-,-,-
IVECAM,IVECAM,-,-,-
JCD,JCD,-,-,-
JMH,JMH,-,-,-
JORGE CD KOT,JORGE CD KOT,-,-,-
KELCOT,KELCOT,-,-,-
KORMAT,KORMAT,-,-,-
LENOX TANYX,LENOX TANYX,-,-,-
LIDERES,LIDERES,-,-,-
LOS PORTUGUESES,LOS PORTUGUESES,-,-,-
LUBRICENTRO RUTA,LUBRICENTRO RUTA,-,-,-
LUGANO LUBRICENTRO,LUGANO LUBRICENTRO,-,-,-
MACEGO,MACEGO,-,-,-
MANUFACTURAS DAVIO S.R.L.,MANUFACTURAS DAVIO S.R.L.,-,-,-
MAQUA TOOLS,MAQUA TOOLS,-,-,-
MAQUITOOLS,MAQUITOOLS,-,-,-
MARBY,MARBY,-,-,-
MARSIGLIONE ANTONIO LUIS,MARSIGLIONE ANTONIO LUIS,-,-,-
MATAFUEGOS EZEIZA,MATAFUEGOS EZEIZA,-,-,-
MECAFER,MECAFER,-,-,-
MECANSUR,MECANSUR,-,-,-
MERCEDES BENZ,MERCEDES BENZ,-,-,-
MERCOSIL,MERCOSIL,-,-,-
METALCONF,METALCONF,-,-,-
METALURGICA GABRIELLI,METALURGICA GABRIELLI,-,-,-
METALURGICA PENALVA HNOS. S.A.,METALURGICA PENALVA HNOS. S.A.,-,-,-
MICRO,MICRO,-,-,-
MOCONA,MOCONA,-,-,-
MONSTER TOOLS,MONSTER TOOLS,-,-,-
MONTEGRANDE SERVICIOS MGW S.A,MONTEGRANDE SERVICIOS MGW S.A,-,-,-
MORAN IVANA LORENA,MORAN IVANA LORENA,-,-,-
MORON GOMA,MORON GOMA,-,-,-
MULTIKNO,MULTIKNO,-,-,-
NEPOTE,NEPOTE,-,-,-
NEW CLEVERS,NEW CLEVERS,-,-,-
NEW GAS,NEW GAS,-,-,-
OESTE GASES,OESTE GASES,-,-,-
ONISZCZUK ALBERTO,ONISZCZUK ALBERTO,-,-,-
ONTEX FORTINOX,ONTEX FORTINOX,-,-,-
OPORTO PABLO ALFREDO,OPORTO PABLO ALFREDO,-,-,-
ORGANIZACION SD,ORGANIZACION SD,-,-,-
PAPELERA JUAN XXII,PAPELERA JUAN XXII,-,-,-
PATRACAS,PATRACAS,-,-,-
PEM NEORED,PEM NEORED,-,-,-
PENTRON,PENTRON,-,-,-
PESADO TODO,PESADO TODO,-,-,-
PETROPOLIS,PETROPOLIS,-,-,-
PIERRINOX,PIERRINOX,-,-,-
PIJUAN,PIJUAN,-,-,-
PINTURERIA SERRENTINO,PINTURERIA SERRENTINO,-,-,-
PISOMETAL,PISOMETAL,-,-,-
PLASMA CONTROL,PLASMA CONTROL,-,-,-
PREGOM,PREGOM,-,-,-
PROVEEDURIA HIDRAULICA,PROVEEDURIA HIDRAULICA,-,-,-
PROVIN,PROVIN,-,-,-
Q10 QUIMICA,Q10 QUIMICA,-,-,-
QUIMWEY,QUIMWEY,-,-,-
RAPP CLAUDIO FABIAN,RAPP CLAUDIO FABIAN,-,-,-
REPICKY,REPICKY,-,-,-
REPUESTOS LLAVALLOL,REPUESTOS LLAVALLOL,-,-,-
REPUESTOS SANKAR,REPUESTOS SANKAR,-,-,-
REVICAR SA,REVICAR SA,-,-,-
RIVADAVIA REPUESTOS,RIVADAVIA REPUESTOS,-,-,-
RIZZOTTO,RIZZOTTO,-,-,-
ROBERTO JOSE HELOU,ROBERTO JOSE HELOU,-,-,-
ROSSI,ROSSI,-,-,-
RUBINETTI,RUBINETTI,-,-,-
RUIZ DIAZ RAUL MARTIN,RUIZ DIAZ RAUL MARTIN,-,-,-
RVS,RVS,-,-,-
SANCHEZ GASTON RAUL,SANCHEZ GASTON RAUL,-,-,-
SANCHEZ HORACIO HECTOR,SANCHEZ HORACIO HECTOR,-,-,-
SANITARIOS ADRIANA,SANITARIOS ADRIANA,-,-,-
SANITARIOS VIAMONTE,SANITARIOS VIAMONTE,-,-,-
SARABIA MARIO FABIAN,SARABIA MARIO FABIAN,-,-,-
SCANIA,SCANIA,-,-,-
SELLADORES Y PEGAMENTOS SAN JOSE,SELLADORES Y PEGAMENTOS SAN JOSE,-,-,-
SENEN DIEGO LORENZO ALBERT,SENEN DIEGO LORENZO ALBERT,-,-,-
SIRIO MATAFUEGOS,SIRIO MATAFUEGOS,-,-,-
SISTEMA INTEGRAL DEL AUTOMOVIL,SISTEMA INTEGRAL DEL AUTOMOVIL,-,-,-
SOCAM COOPERATIVA DE TRABAJO LIMITADA,SOCAM COOPERATIVA DE TRABAJO LIMITADA,-,-,-
SOLBEMT,SOLBEMT,-,-,-
SP ACCESORIOS,SP ACCESORIOS,-,-,-
STOCCO,STOCCO,-,-,-
STORANI,STORANI,-,-,-
TAGLIANI REPUESTOS,TAGLIANI REPUESTOS,-,-,-
TANGLER,TANGLER,-,-,-
TANGOMA,TANGOMA,-,-,-
TECNOPEG,TECNOPEG,-,-,-
TER,TER,-,-,-
TIENDA DE CARDAN,TIENDA DE CARDAN,-,-,-
TODO UNION,TODO UNION,-,-,-
TOFEMA,TOFEMA,-,-,-
TORMECAN,TORMECAN,-,-,-
TRANSMISIONES GALICIA,TRANSMISIONES GALICIA,-,-,-
TRV,TRV,-,-,-
TRYTECH,TRYTECH,-,-,-
TUTHILL,TUTHILL,-,-,-
UDOR,UDOR,-,-,-
ULTRACOLOR,ULTRACOLOR,-,-,-
VACIO PONT,VACIO PONT,-,-,-
VAL ARG,VAL ARG,-,-,-
VALVULAS ESTEBAN,VALVULAS ESTEBAN,-,-,-
VENETO,VENETO,-,-,-
VENTURI,VENTURI,-,-,-
VICALI SRL,VICALI SRL,-,-,-
VTM,VTM,-,-,-
WACKER,WACKER,-,-,-
WURTH,WURTH,-,-,-
YACCUZZI,YACCUZZI,-,-,-
ZALOZE,ZALOZE,-,-,-
ZZTEST,ZZTEST,-,-,-


